TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688791837,1684.0,15974.0,2600.0,0.0,0.0,2800.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1688791838,1664.0,15974.0,2600.0,0.0,0.0,2800.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688791839,1644.0,15974.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,6.0,0.0,15.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688791840,1835.0,15969.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,6.0,0.0,15.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688791841,1627.0,15979.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0
1688791842,1655.0,15974.0,2600.0,0.0,0.0,2800.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1688791843,1675.0,15974.0,2600.0,0.0,0.0,2800.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,6.0,0.0,15.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1688791844,1858.0,15965.0,2600.0,0.0,0.0,2800.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,6.0,0.0,15.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1688791845,1639.0,15974.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688791846,1670.0,15974.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688791847,1664.0,15974.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,6.0,0.0,16.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688791848,1664.0,15974.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,6.0,0.0,16.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1688791849,1653.0,15974.0,2600.0,0.0,0.0,2600.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
