TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688874321,1217.0,15927.0,12400.0,290.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1688874322,1377.0,15917.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688874323,1200.0,15927.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688874324,1374.0,15917.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,18.0,12.8,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688874325,1183.0,15927.0,12400.0,280.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1688874326,1391.0,15917.0,12400.0,280.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.5,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688874327,1189.0,15927.0,12400.0,280.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,18.0,12.8,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0
1688874328,1585.0,15908.0,12400.0,280.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,18.0,12.8,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1688874329,1200.0,15927.0,12400.0,280.0,1400.0,12200.0,2040.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,18.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688874330,1414.0,15913.0,12400.0,280.0,1400.0,12200.0,2040.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,18.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1688874331,1189.0,15927.0,12400.0,260.0,1400.0,12200.0,2040.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,18.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
