TIME,POWER,TEMP,ATLAS_B_TEMP
11.341666666666667,8.13604,30.77,14.0
11.358333333333333,8.1433,30.77,14.0
11.408333333333333,8.1796,30.77,14.0
11.425,8.12636,30.77,14.0
11.475,8.128779999999999,30.77,14.0
11.491666666666667,8.128779999999999,30.77,14.0
11.541666666666668,8.128779999999999,30.785,14.0
11.558333333333332,8.09006,30.795,14.0
11.608333333333333,8.092479999999998,30.805,14.0
11.625,8.1191,30.815,14.0
11.675,8.116679999999999,30.86,14.0
11.691666666666668,8.116679999999999,30.87,14.0
11.741666666666667,8.12394,30.925,14.0
11.758333333333333,8.1433,30.945,14.0
11.808333333333332,8.15298,31.005,14.0
11.825,8.1554,31.025,14.0
11.875,8.15782,31.085,14.0
11.891666666666667,8.18928,31.105,14.0
11.941666666666668,8.1917,31.165,14.0
11.958333333333332,8.18928,31.175,14.0
12.008333333333333,8.1917,31.205,14.0
12.025,8.23042,31.225,14.0
12.075,8.23284,31.27,14.0
12.091666666666667,8.23284,31.28,14.0
12.141666666666667,8.23284,31.31,14.0
12.158333333333333,8.23768,31.32,14.0
12.208333333333332,8.2885,31.35,14.0
12.225,8.31996,31.36,14.0
12.275,8.322379999999999,31.39,14.0
12.291666666666668,8.27156,31.4,14.0
12.341666666666667,8.23526,31.43,14.0
12.358333333333333,8.23284,31.44,14.0
12.408333333333333,8.23042,31.47,14.0
12.425,8.228,31.48,14.0
12.475,8.22316,31.51,14.0
12.491666666666667,8.19896,31.52,14.0
12.541666666666668,8.19654,31.55,15.0
12.558333333333332,8.19654,31.56,15.0
12.608333333333333,8.19654,31.58,15.0
12.625,8.19412,31.58,15.0
12.675,8.19412,31.58,15.0
12.691666666666668,8.19654,31.58,15.0
12.741666666666667,8.19654,31.555,15.0
12.758333333333333,8.19896,31.545,15.0
12.808333333333332,8.19896,31.515,15.0
12.825,8.19896,31.505,15.0
12.875,8.19654,31.505,15.0
12.891666666666667,8.19654,31.505,15.0
12.941666666666668,8.162659999999999,31.505,15.0
12.958333333333332,8.1675,31.505,15.0
13.008333333333333,8.17234,31.51,15.0
13.025,8.17718,31.52,15.0
13.075,8.18202,31.55,15.0
13.091666666666667,8.18928,31.56,15.0
13.141666666666667,8.19412,31.57,15.0
13.158333333333333,8.19412,31.57,15.0
13.208333333333332,8.1917,31.585,15.0
13.225,8.18928,31.585,15.0
13.275,8.18928,31.605,15.0
13.291666666666668,8.18928,31.605,15.0
13.341666666666667,8.18928,31.62,15.0
13.358333333333333,8.201379999999999,31.63,15.0
13.408333333333333,8.203800000000001,31.635,15.0
13.425,8.2522,31.635,15.0
13.475,8.22074,31.635,15.0
13.491666666666667,8.22074,31.635,15.0
13.541666666666668,8.22074,31.635,15.0
13.558333333333332,8.22316,31.635,15.0
13.608333333333333,8.22316,31.635,15.0
13.625,8.22316,31.635,15.0
13.675,8.23768,31.65,15.0
13.691666666666668,8.2401,31.65,15.0
13.741666666666667,8.2401,31.65,15.0
13.758333333333333,8.2401,31.65,15.0
13.808333333333332,8.24252,31.65,15.0
13.825,8.22316,31.65,15.0
13.875,8.228,31.65,15.0
13.891666666666667,8.228,31.65,15.0
13.941666666666668,8.228,31.65,15.0
13.958333333333332,8.18686,31.65,15.0
14.008333333333333,8.18928,31.65,15.0
14.025,8.18686,31.65,15.0
14.075,8.22074,31.65,15.0
14.091666666666667,8.2522,31.65,15.0
14.141666666666667,8.254620000000001,31.65,15.0
14.158333333333333,8.29334,31.65,15.0
14.208333333333332,8.29334,31.65,15.0
14.225,8.29334,31.65,15.0
14.275,8.32722,31.66,15.0
14.291666666666668,8.2885,31.67,15.0
14.341666666666667,8.2885,31.7,15.0
14.358333333333333,8.2885,31.71,15.0
14.408333333333333,8.29092,31.765,15.0
14.425,8.29092,31.785,15.0
14.475,8.29092,31.845,15.0
14.491666666666667,8.29334,31.865,15.0
14.541666666666668,8.29334,31.895,15.0
14.558333333333332,8.29092,31.905,15.0
14.608333333333333,8.2885,31.935,15.0
14.625,8.300600000000001,31.945,15.0
14.675,8.300600000000001,31.97,15.0
14.691666666666668,8.29334,31.97,15.0
14.741666666666667,8.259459999999999,31.97,15.0
14.758333333333333,8.26188,31.97,15.0
14.808333333333332,8.26672,31.99,15.0
14.825,8.27156,32.0,15.0
14.875,8.27156,32.015,15.0
14.891666666666667,8.27398,32.015,15.0
14.941666666666668,8.27398,32.015,15.0
14.958333333333332,8.27398,32.015,15.0
15.008333333333333,8.2764,32.02,15.0
15.025,8.27156,32.03,15.0
15.075,8.25704,32.05,15.0
15.091666666666667,8.23284,32.05,15.0
15.141666666666667,8.21832,32.05,15.0
15.158333333333333,8.213479999999999,32.05,15.0
15.208333333333332,8.21106,32.07,15.0
15.225,8.19654,32.08,15.0
15.275,8.19654,32.11,15.0
15.291666666666668,8.19654,32.12,15.0
15.341666666666667,8.23284,32.14,15.0
15.358333333333333,8.1917,32.14,15.0
15.408333333333333,8.1917,32.14,15.0
15.425,8.1917,32.13,15.0
15.475,8.1917,32.11,15.0
15.491666666666667,8.1917,32.1,15.0
15.541666666666668,8.18928,32.09,15.0
15.558333333333332,8.15298,32.09,15.0
15.608333333333333,8.150559999999999,32.09,15.0
15.625,8.150559999999999,32.09,15.0
15.675,8.15298,32.09,15.0
15.691666666666668,8.1554,32.09,15.0
15.741666666666667,8.15782,32.09,15.0
15.758333333333333,8.16024,32.09,15.0
15.808333333333332,8.203800000000001,32.09,15.0
15.825,8.208639999999999,32.09,15.0
15.875,8.24252,32.09,15.0
15.891666666666667,8.24252,32.09,15.0
15.941666666666668,8.24494,32.09,15.0
15.958333333333332,8.300600000000001,32.09,15.0
16.008333333333333,8.35384,32.095,15.0
16.025,8.35384,32.105,15.0
16.075,8.35384,32.135,15.0
16.09166666666667,8.351420000000001,32.145,15.0
16.141666666666666,8.351420000000001,32.155,15.0
16.15833333333333,8.351420000000001,32.155,15.0
16.208333333333332,8.35384,32.185,15.0
16.225,8.35384,32.195,15.0
16.275,8.35384,32.225,15.0
16.291666666666668,8.351420000000001,32.235,15.0
16.34166666666667,8.351420000000001,32.265,15.0
16.358333333333334,8.39014,32.275,15.0
16.40833333333333,8.42886,32.305,15.0
16.425,8.46516,32.315,15.0
16.475,8.49904,32.345,15.0
16.491666666666667,8.50146,32.345,15.0
16.541666666666668,8.503879999999999,32.355,15.0
16.558333333333334,8.46516,32.365,15.0
16.608333333333334,8.503879999999999,32.395,15.0
16.625,8.503879999999999,32.405,15.0
16.675,8.53776,32.43,15.0
16.691666666666666,8.56438,32.43,15.0
16.741666666666667,8.55954,32.44,15.0
16.758333333333333,8.545020000000001,32.45,15.0
16.808333333333334,8.54018,32.48,15.0
16.825,8.54018,32.49,15.0
16.875,8.57406,32.5,15.0
16.891666666666666,8.57164,32.5,15.0
16.941666666666666,8.57406,32.5,15.0
16.958333333333332,8.57406,32.5,15.0
17.008333333333333,8.600679999999999,32.51,15.0
17.025,8.600679999999999,32.52,15.0
17.075,8.600679999999999,32.55,15.0
17.09166666666667,8.600679999999999,32.57,15.0
17.141666666666666,8.59584,32.62,15.0
17.15833333333333,8.59584,32.64,15.0
17.208333333333332,8.64908,32.68,15.0
17.225,8.62004,32.69,15.0
17.275,8.62488,32.72,15.0
17.291666666666668,8.6273,32.73,15.0
17.34166666666667,8.62972,32.76,15.0
17.358333333333334,8.63214,32.77,15.0
17.40833333333333,8.6394,32.8,15.0
17.425,8.663599999999999,32.81,15.0
17.475,8.663599999999999,32.84,15.0
17.491666666666667,8.67086,32.85,15.0
17.541666666666668,8.67086,32.88,15.0
17.558333333333334,8.67086,32.89,15.0
17.608333333333334,8.63698,32.92,15.0
17.625,8.63698,32.93,15.0
17.675,8.67086,32.965,15.0
17.691666666666666,8.66602,32.965,15.0
17.741666666666667,8.663599999999999,32.965,16.0
17.758333333333333,8.66118,32.965,16.0
17.808333333333334,8.656339999999998,32.985,16.0
17.825,8.651499999999999,32.995,16.0
17.875,8.64908,32.995,16.0
17.891666666666666,8.64908,32.995,16.0
17.941666666666666,8.64908,33.01,16.0
17.958333333333332,8.63698,33.02,16.0
18.008333333333333,8.63456,33.035,16.0
18.025,8.63456,33.025,16.0
18.075,8.63214,33.005,16.0
18.09166666666667,8.62972,32.995,16.0
18.141666666666666,8.62488,32.965,16.0
18.15833333333333,8.62004,32.965,16.0
18.208333333333332,8.66602,32.94,16.0
18.225,8.663599999999999,32.94,16.0
18.275,8.663599999999999,32.94,16.0
18.291666666666668,8.63214,32.94,16.0
18.34166666666667,8.63214,32.94,16.0
18.358333333333334,8.63698,32.94,16.0
18.40833333333333,8.675699999999999,32.94,16.0
18.425,8.680539999999999,32.94,16.0
18.475,8.68538,32.94,16.0
18.491666666666667,8.6878,32.94,16.0
18.541666666666668,8.69022,32.94,16.0
18.558333333333334,8.67328,32.94,16.0
18.608333333333334,8.67328,32.94,16.0
18.625,8.67328,32.94,16.0
18.675,8.63698,32.94,16.0
18.691666666666666,8.63698,32.94,16.0
18.741666666666667,8.67086,32.94,16.0
18.758333333333333,8.67086,32.94,16.0
18.808333333333334,8.67086,32.94,16.0
18.825,8.668439999999999,32.94,16.0
18.875,8.62004,32.94,16.0
18.891666666666666,8.62246,32.95,16.0
18.941666666666666,8.675699999999999,32.955,16.0
18.958333333333332,8.675699999999999,32.955,16.0
19.008333333333333,8.675699999999999,32.985,16.0
19.025,8.67328,32.985,16.0
19.075,8.67328,32.985,16.0
19.09166666666667,8.67328,32.985,16.0
19.141666666666666,8.63698,33.0,16.0
19.15833333333333,8.6394,33.0,16.0
19.208333333333332,8.60794,33.02,16.0
19.225,8.60794,33.03,16.0
19.275,8.60552,33.05,16.0
19.291666666666668,8.55228,33.055,16.0
19.34166666666667,8.5305,33.065,16.0
19.358333333333334,8.5305,33.07,16.0
19.40833333333333,8.5305,33.08,16.0
19.425,8.53292,33.08,16.0
19.475,8.53292,33.1,16.0
19.491666666666667,8.545020000000001,33.11,16.0
19.541666666666668,8.545020000000001,33.14,16.0
19.558333333333334,8.542599999999998,33.15,16.0
19.608333333333334,8.542599999999998,33.155,16.0
19.625,8.545020000000001,33.155,16.0
19.675,8.545020000000001,33.17,16.0
19.691666666666666,8.54018,33.19,16.0
19.741666666666667,8.50146,33.24,16.0
19.758333333333333,8.46274,33.26,16.0
19.808333333333334,8.46274,33.32,16.0
19.825,8.46274,33.34,16.0
19.875,8.46274,33.4,16.0
19.891666666666666,8.49662,33.41,16.0
19.941666666666666,8.457899999999999,33.44,16.0
19.958333333333332,8.46032,33.45,16.0
20.008333333333333,8.43128,33.48,16.0
20.025,8.394979999999999,33.49,16.0
20.075,8.44096,33.52,16.0
20.09166666666667,8.44338,33.53,16.0
20.141666666666666,8.448220000000001,33.56,16.0
20.15833333333333,8.49662,33.57,16.0
20.208333333333332,8.46516,33.6,16.0
20.225,8.46758,33.61,16.0
20.275,8.469999999999999,33.64,16.0
20.291666666666668,8.47242,33.65,16.0
20.34166666666667,8.42886,33.68,16.0
20.358333333333334,8.42644,33.69,16.0
