TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689538252,1000.4881289717024,5.484035714285713,1800457088.0,0.936,59.4,10.0,1.0
1689538253,1057.1667702258246,5.481505000000002,1800457088.0,0.936,59.4,10.0,1.0
1689538254,1011.5937656141872,5.482441176470591,1800404352.0,0.936,60.8,10.0,1.0
1689538255,996.2529021087151,5.483015306122449,1800457088.0,0.936,60.3,10.0,1.0
1689538256,1028.243440912111,5.482639999999999,1800457088.0,0.936,60.8,11.0,1.0
1689538257,993.6433143503928,5.484455000000001,1800457088.0,0.936,60.3,11.0,1.0
1689538258,1033.3253219370606,5.482627551020408,1800457088.0,0.936,58.9,11.0,1.0
1689538259,983.5542839073506,5.483789215686272,1800457088.0,0.936,59.9,11.0,1.0
1689538260,988.3828217740644,5.484710000000002,1800404352.0,0.936,60.3,11.0,1.0
1689538261,1032.0638753150552,5.481445000000003,1800457088.0,0.936,59.9,11.0,1.0
1689538262,1007.5969138245232,5.484510000000001,1800457088.0,0.936,60.3,11.0,1.0
1689538263,1019.301200314208,5.48365,1800404352.0,0.936,60.8,11.0,1.0
1689538264,1032.270772727132,5.483397959183675,1800457088.0,0.936,59.4,11.0,1.0
1689538265,1006.653157486246,5.4851,1800457088.0,0.936,60.3,11.0,1.0
1689538266,1024.6206064651126,5.482147058823528,1800457088.0,0.936,60.8,11.0,1.0
1689538267,1012.5389575668188,5.483357142857142,1800457088.0,0.936,60.3,11.0,1.0
1689538268,1007.8785281211746,5.484275000000001,1800457088.0,0.936,60.3,11.0,1.0
1689538269,1037.1351548745365,5.482670000000001,1800457088.0,0.936,60.3,11.0,1.0
1689538270,1004.6360869427796,5.484200980392158,1800404352.0,0.936,60.8,11.0,1.0
1689538271,1048.1953515653047,5.481938775510203,1800457088.0,0.936,60.3,11.0,1.0
1689538272,1022.4083417155108,5.483175000000001,1800404352.0,0.936,60.8,11.0,1.0
1689538273,1010.5851873070584,5.48381,1800457088.0,0.936,60.3,11.0,1.0
1689538274,1023.7123011583636,5.482689999999999,1800457088.0,0.936,60.3,11.0,1.0
1689538275,995.299561888571,5.485234999999999,1800457088.0,0.936,60.3,11.0,1.0
1689538276,975.702089450403,5.481885000000001,1800457088.0,0.936,60.8,0.0,-1.0
1689538277,1004.93772634747,5.484117346938777,1800457088.0,0.936,59.9,12.0,1.0
1689538278,1019.5763766111296,5.4834313725490205,1800457088.0,0.936,60.8,12.0,1.0
1689538279,1029.8731446245004,5.482404999999999,1800457088.0,0.936,60.3,12.0,1.0
1689538280,996.6990517691422,5.48511224489796,1800457088.0,0.936,60.8,12.0,1.0
1689538281,1049.7160377096466,5.484367647058827,1800404352.0,0.936,60.8,12.0,1.0
1689538282,1060.1819238170392,5.484,1800457088.0,0.936,60.8,12.0,1.0
1689538283,1086.6161514851285,5.482480000000001,1800457088.0,0.936,61.3,12.0,1.0
1689538284,1029.035518402505,5.484025,1800457088.0,0.936,60.3,12.0,1.0
1689538285,1020.0684041193856,5.483215686274512,1800457088.0,0.936,60.8,12.0,1.0
1689538286,1014.3518146287556,5.4842806122448975,1800457088.0,0.936,61.3,12.0,1.0
1689538287,1028.082081938608,5.484020000000002,1800404352.0,0.936,60.8,12.0,1.0
1689538288,1042.9127087445577,5.484005,1800404352.0,0.936,61.3,12.0,1.0
1689538289,1027.5070649991546,5.483964285714285,1800404352.0,0.936,60.8,12.0,1.0
1689538290,1007.3458064765904,5.484254901960784,1800457088.0,0.936,60.3,12.0,1.0
1689538291,1045.707314800886,5.482305,1800457088.0,0.936,60.8,12.0,1.0
1689538292,1023.6297313486778,5.483214285714286,1800404352.0,0.936,61.8,12.0,1.0
1689538293,1032.0479878894944,5.482555,1800457088.0,0.936,59.9,12.0,1.0
1689538294,1017.9945868661688,5.483676470588238,1800457088.0,0.936,60.8,12.0,1.0
1689538295,1052.067787530877,5.48195918367347,1800457088.0,0.936,61.0,12.0,1.0
1689538296,984.7037103561734,5.485335,1800457088.0,0.936,61.3,12.0,1.0
1689538297,963.6582172962414,5.483495098039215,1800404352.0,0.936,61.3,12.0,1.0
1689538298,1014.310428227554,5.48338775510204,1800457088.0,0.936,60.8,13.0,1.0
1689538299,1035.1444828282115,5.483575000000001,1800457088.0,0.936,61.3,13.0,1.0
1689538300,1026.4491813857005,5.483165000000001,1800404352.0,0.936,61.3,13.0,1.0
1689538301,1034.2538697820678,5.483387755102042,1800404352.0,0.936,61.8,13.0,1.0
1689538302,1018.4579354966526,5.482750000000001,1800404352.0,0.936,61.3,13.0,1.0
1689538303,1038.475639540626,5.481869999999999,1800457088.0,0.936,61.8,13.0,1.0
1689538304,1009.9389771250908,5.4839,1800404352.0,0.936,60.8,13.0,1.0
1689538305,992.4884491568504,5.485765306122449,1800457088.0,0.936,61.3,13.0,1.0
1689538306,1027.6394960164507,5.4832254901960775,1800404352.0,0.936,61.3,13.0,1.0
1689538307,1035.054045750368,5.481309999999997,1800457088.0,0.936,61.8,13.0,1.0
1689538308,1023.5985467973252,5.483785714285715,1800457088.0,0.936,61.3,13.0,1.0
1689538309,1028.755617160628,5.482230392156862,1800404352.0,0.936,60.3,13.0,1.0
