TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1692237119,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237120,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237121,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1692237122,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237123,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237124,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237125,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237126,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237127,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237128,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237129,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237130,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237131,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237132,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237133,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237134,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237135,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237136,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237137,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237138,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237139,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237140,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237141,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237142,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237143,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237144,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237145,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237146,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237147,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237148,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237149,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237150,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237151,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237152,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237153,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237154,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237155,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
