TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688625514,677.3840729,11.96211735,41,4,36,1,0,38,0,85,1
1688625515,684.9344278,11.96140686,41,4,36,1,0,49,4,85,1
1688625516,675.086898,11.9605,42,4,36,1,1,40,1,86,1
1688625517,699.1288702,11.9615,41,4,38,1,0,46,0,86,1
1688625518,674.5733295,11.96149,41,4,36,1,0,44,4,86,1
1688625519,688.7360657,11.96111224,42,4,36,1,0,40,0,87,1
1688625520,681.7848766,11.961985,41.5,4,36.5,1,0,42,1.5,87,1
1688625521,685.3992079,11.96123529,41,4,37,1,0,44,3,87,1
1688625522,693.1390254,11.961625,42,4,36,1,1,45,4,88,1
1688625523,703.4531478,11.96191837,41,4,37,1,0,42,0,88,1
1688625524,675.0681682,11.96113,41.3,4,36.7,1,0,39,0,88,1
1688625525,690.9246694,11.961315,41.7,4,36.3,1,0,36,0,89,1
1688625526,697.4330417,11.96083163,42,4,36,1,0,33,0,89,1
1688625527,694.8776419,11.96108333,42,4,39,1,0,43,2,89,1
1688625528,677.9866181,11.9614,42,4,36,1,1,37,1,90,1
1688625529,685.8842248,11.96218367,42,4,36.5,1,0.5,42.5,1.5,90,1
1688625530,687.2519727,11.96102,42,4,37,1,0,48,2,90,1
1688625531,682.9039033,11.96076471,42,4,36,1,0,42,0,91,1
1688625532,682.0877423,11.96122449,42,4,36,1,3,44,0,91,1
1688625533,694.2959045,11.961375,42,4,39,1,0,47,3,91,1
1688625534,675.6861779,11.960665,42,4,36,1,0,39,0,91,1
1688625535,682.6286673,11.961295,42,4,37,1,0,41,0.5,92,1
1688625536,694.0040922,11.96022449,42,4,38,1,0,43,1,92,1
1688625537,678.3943225,11.96159314,42,4,36,1,0,41,3,92,1
1688625538,679.8015699,11.96115,42,4,36,1,0,48,2,93,1
1688625539,694.4922708,11.96062245,42,4,38,1,0,36,3,93,1
1688625540,677.0159908,11.960755,42,4,36,1,0,53,1,93,1
1688625541,682.768564,11.96036,42,4,36,1,0,36,1,94,1
1688625542,686.1193889,11.96104412,42,4,39,1,0,39,1,94,1
1688625543,680.3766319,11.96077551,42,4,37.5,1,0.5,43.5,1.5,94,1
1688625544,676.5042433,11.96099,42,4,36,1,1,48,2,95,1
1688625545,690.0232069,11.961705,42,4,38,1,0,36,1,95,1
1688625546,686.3340351,11.96115306,42,4,36,1,0,54,1,95,1
1688625547,678.597204,11.96116667,42,4,36,1,0,34,0,96,1
1688625548,687.9707336,11.961185,42,4,38,1,0,37,5,96,1
1688625549,690.7289497,11.96151531,42,4,37,0.5,0.5,44,3,96,1
1688625550,669.8940381,11.96124,42,4,36,0,1,51,1,97,1
1688625551,694.0191588,11.9610049,42,4,36,0,0,33,0,97,1
1688625552,682.9150824,11.96097449,42,4,36,0,0,53,3,97,1
1688625553,674.830734,11.961765,42,4,36,1,1,34,2,98,1
1688625554,690.7533812,11.96097,42,4,38,1,0,36,2,98,1
1688625555,690.525922,11.96167347,42,4,37,1,0.5,44,1.5,98,1
1688625556,672.7315619,11.961305,42,4,36,1,1,52,1,99,1
1688625557,691.7342497,11.96113725,42,4,36,1,0,32,0,99,1
1688625558,685.9060659,11.96053061,42,4,39,1,0,55,0,99,1
1688625559,674.4533153,11.960995,42,4,36,1,1,32,3,100,1
1688625560,689.5366344,11.96130882,42,4,38,1,0,53,2,100,1
1688625561,705.1981423,11.9612398,42,4,36,1,0,53,1,100,1
1688625562,674.880049,11.96049,42,4,36,1,0,32,0,101,1
1688625563,687.033296,11.96134,42,4,37,1,0,42,1.5,101,1
1688625564,683.2443131,11.9615,42,4,38,1,0,52,3,101,1
1688625565,677.0105666,11.96145588,42,4,36,1,0,37,2,102,1
1688625566,687.1634204,11.961415,42,4,36,1,0,48,0,102,1
1688625567,695.59484,11.96046939,42,4,39,1,0,40,4,102,1
1688625568,675.2272962,11.96029,42,4,36,1,1,33,1,103,1
1688625569,682.8724317,11.96171,42,4,36.5,1,0.5,42,2,103,1
1688625570,708.404118,11.96022959,42,4,37,1,0,51,3,103,1
1688625571,676.9529869,11.96139706,42,4,36,1,0,38,3,103,1
1688625572,682.7387992,11.960915,42,4,36,1,2,47,0,104,1
1688625573,709.0389789,11.96028571,42,4,39,1,0,39,1,104,1
1688625574,679.1695669,11.961295,42,4,36,1,0,50,2,104,1
1688625575,684.2004648,11.96077,42,4,36.5,1,0,50.5,2,105,1
1688625576,686.9908385,11.96113235,42,4,37,1,0,51,2,105,1
1688625577,689.3624446,11.96180612,42,4,36,1,0,36,1,105,1
1688625578,681.2916995,11.961295,42,4,36,1,0,49,1,106,1
1688625579,690.523651,11.961105,42,4,39,1,0,36,3,106,1
1688625580,688.1875923,11.96077041,42,4,36,1,0,51,2,106,1
1688625581,677.034399,11.96081863,42,4,36.5,1,0,49,1,107,1
1688625582,695.1098038,11.960665,42,4,37,1,0,47,0,107,1
1688625583,685.2321942,11.96135714,42,4,36,1,0,37,5,107,1
1688625584,679.7782161,11.960565,42,4,36,1,1,50,0,108,1
1688625585,689.3418958,11.96106863,42,4,38,1,0,35,4,108,1
1688625586,693.3105344,11.96072959,42,4,36,1,1,40,1,108,1
1688625587,675.143807,11.96054,42,4,36,1,0.5,43.5,0.5,109,1
1688625588,692.7280304,11.96136,42,4,36,1,0,47,0,109,1
1688625589,684.9427826,11.96061224,42,4,39,1,0,41,4,109,1
1688625590,675.9057559,11.961485,42,4,36,1,1,48,1,110,1
1688625591,693.2101815,11.96144118,42,4,36,1,0,39,3,110,1
1688625592,684.9385137,11.96207143,42,4,36,1,0,48,1,110,1
1688625593,669.8956063,11.960745,42,4,36,1,1,40,0,111,1
1688625594,693.2318259,11.96159314,42,4,37.5,1,0.5,42,1.5,111,1
1688625595,701.1350016,11.95952551,42,4,39,1,0,44,3,111,1
1688625596,673.5236441,11.960665,42,4,36,1,1,43,2,112,1
1688625597,690.4448143,11.96081,42,4,37,1,0,40,1,112,1
1688625598,692.9396146,11.961165,42,4,36,1,0,47,2,112,1
1688625599,673.3458179,11.96111735,42,4,36,1,1,40,0,113,1
1688625600,689.0963037,11.96084314,42.5,4,37,1,0.5,42,2,113,1
1688625601,691.948774,11.959455,43,4,38,1,0,44,4,113,1
1688625602,678.9785603,11.96093367,42,4,36,1,0,42,0,114,1
1688625603,685.9454472,11.961415,42,4,37,1,0,42,0,114,1
1688625604,693.3153925,11.96163235,42,4,36,1,0,46,3,114,1
1688625605,672.9594387,11.9614898,42,4,36,1,0,43.5,2,115,1
1688625606,690.8067972,11.960815,42,4,36,1,0,41,1,115,1
1688625607,696.7425762,11.96068878,43,4,38,1,0,47,3,115,1
1688625608,685.0564125,11.96077941,42,4,36,1,1,38,3,116,1
1688625609,681.4150403,11.96104,43,4,36,1,0,45,0,116,1
1688625610,694.9755622,11.96160204,43,4,39,1,0,42,0,116,1
1688625611,673.6829122,11.96141,43,4,36,1,0,46,1,116,1
